,group_1.0,group_1.1,group_1.2,group_2.0,group_2.1,group_2.2,group_2.3,group_3.0,group_3.1,group_3.2,group_4.0,group_4.1,group_4.2
1140,62.335262,62.688683,62.31318,62.158596,62.026115,62.60032,62.66659,253.04305,253.01761,253.08119,59.666225,63.81598,40.29775
1141,62.578228,62.578228,62.335262,62.136513,62.070274,62.688683,62.51196,253.05576,253.03033,253.08119,63.72752,59.159626,43.91814
1142,62.526688,62.615047,62.3868,62.129154,62.040836,62.673954,62.416252,253.04305,253.00491,253.08119,63.49909,59.24772,44.041214
1143,62.475147,62.651863,62.438335,62.12179,62.011395,62.65923,62.32055,253.03033,252.97948,253.08119,63.270653,59.335815,44.164288
1144,62.423607,62.688683,62.489872,62.114433,61.981956,62.6445,62.224842,253.01761,252.96677,253.06848,63.04222,59.42391,44.28736
1145,62.379436,62.60032,62.40152,62.048195,61.981956,62.84334,62.6445,253.0049,252.95404,253.05576,62.97592,59.864525,43.91814
1146,62.42361,62.659233,62.34263,62.092358,61.974598,62.75497,62.651863,253.01761,252.94131,253.06848,62.843357,59.982063,43.867477
1147,62.467785,62.718143,62.283733,62.136517,61.96724,62.6666,62.65923,253.03033,252.9286,253.08119,62.710793,60.099606,43.81681
1148,62.51196,62.777058,62.224842,62.18068,61.95988,62.578228,62.66659,253.01761,252.94131,253.08119,62.578228,60.217144,43.766148
1149,62.57823,62.633465,62.235886,62.16964,61.970917,62.62241,62.677635,253.0049,252.95404,253.08119,62.777077,59.952698,43.766148
1150,62.6445,62.489872,62.246925,62.158596,61.981956,62.66659,62.688683,253.01761,252.94131,253.0939,62.97592,59.688255,43.766148
1151,62.534054,62.500916,62.3684,62.147552,61.970917,62.688683,62.677635,253.03033,252.9286,253.10663,63.528656,59.600136,43.66845
1152,62.423607,62.51196,62.489872,62.136513,61.95988,62.710777,62.66659,253.03033,252.9286,253.0939,64.08139,59.512016,43.570755
1153,62.556145,62.500916,62.346313,62.059235,62.004036,62.67764,62.500927,253.03033,252.9286,253.08119,63.606007,59.43492,43.842175
1154,62.688683,62.489872,62.20276,61.981956,62.048195,62.6445,62.335262,253.04305,252.9286,253.0939,63.130623,59.35783,44.113594
1155,62.58928,62.47883,62.324226,62.1034,62.004036,62.57823,62.500927,253.05576,252.9286,253.10663,62.203156,60.57055,43.24553
