,group_4.0,group_4.1,group_4.2
562,63.196926,59.952667,43.939857
563,63.39587,58.961456,44.700165
564,63.196926,59.512016,43.744434
565,64.192,59.159626,44.091877
566,63.15272,59.666225,43.787857
567,63.08642,59.578102,44.157032
568,64.369,58.455185,44.439426
569,62.688683,58.785336,44.982697
570,60.54783,62.688683,40.968887
571,62.35735,60.01878,43.939857
572,63.661182,59.512016,43.744434
573,63.59485,59.512016,43.744434
574,63.373764,59.159626,43.831284
575,63.52852,59.48999,43.87471
576,63.174824,59.666225,44.113594
577,62.953823,60.01878,44.113594
578,63.10852,59.512016,43.766148
579,63.92656,57.729206,47.245617
580,60.569878,61.253624,44.113594
581,63.10852,59.48999,44.113594
582,62.953823,60.195103,43.071583
583,66.9387,56.520313,45.83074
584,65.697395,57.025684,45.743732
585,63.04222,59.512016,43.787857
586,63.06432,59.776386,44.157032
587,62.66659,60.040817,43.245182
588,63.59485,59.137604,44.352528
589,63.628014,59.24772,44.04848
590,63.661182,59.35783,43.744434
591,63.39587,59.578102,44.091877
592,63.130653,59.534046,44.276512
593,62.865437,59.48999,44.46115
594,63.72752,59.600132,43.744434
595,63.462223,59.644196,43.88558
596,63.196926,59.688255,44.026722
597,61.35447,60.47094,43.722763
598,59.512016,61.253624,43.418808
599,63.196926,59.864525,43.288586
600,63.406944,59.490055,43.864006
601,63.61696,59.115585,44.439426
602,62.73287,58.785336,45.1566
603,63.163857,59.126648,44.72198
604,63.59485,59.46796,44.28736
605,63.04222,59.48999,44.070156
606,63.16378,59.467964,43.939865
607,63.285343,59.445934,43.80957
608,62.688683,59.842487,44.113594
609,62.80653,59.607525,44.287388
610,62.924374,59.372566,44.461178
611,63.04222,59.137604,44.63497
612,63.57274,58.939438,44.439426
613,63.33697,59.122955,44.330814
614,63.101204,59.306473,44.222206
615,62.865437,59.48999,44.113594
616,63.03118,59.54506,43.97244
617,63.196926,59.600132,43.831284
618,61.981956,60.54783,44.113594
619,62.51209,60.01891,44.287373
620,63.04222,59.48999,44.46115
621,63.26326,59.379864,44.374256
622,63.4843,59.269737,44.28736
623,63.79386,59.18165,44.005005
624,63.52852,59.24771,44.63497
625,66.739105,56.696068,45.65673
626,62.688683,59.137604,44.46115
627,63.57274,59.137604,43.744434
628,63.04222,59.578102,44.46115
629,64.08139,58.87339,44.222195
630,63.39587,58.433178,45.852497
631,63.02012,60.17306,43.766148
632,63.373764,59.644196,43.744434
633,62.865437,59.48999,43.939857
634,63.72752,59.159626,44.243916
635,63.373764,60.569878,42.72447
636,64.78948,59.864525,42.355778
637,63.57274,59.556076,44.091877
638,63.130623,59.48999,44.113594
639,63.196926,59.48999,43.939857
640,63.21903,59.093563,44.439426
641,64.08139,59.335808,43.744434
642,63.4843,59.401882,44.265636
643,63.440083,59.335808,43.744434
644,63.130623,59.48999,44.243916
645,63.39587,58.807346,44.78709
646,63.57274,59.159626,44.374252
647,63.4843,59.137604,44.352528
648,63.196926,60.040817,43.570755
649,63.373764,59.24771,44.113594
650,63.04222,59.137604,44.46115
651,63.440083,59.159626,44.243916
652,65.16584,57.751198,44.78709
653,60.922726,62.489872,41.163815
654,63.10852,59.578102,44.091877
655,65.87464,55.62001,47.92105
656,62.66659,59.666225,43.983288
657,63.373764,59.24771,43.570755
658,62.688683,59.842487,44.113594
659,61.893936,60.151062,44.113594
660,61.099194,60.459637,44.113594
661,63.4843,59.22569,44.222195
662,63.60591,59.192657,43.939896
663,63.72752,59.159626,43.657593
664,63.39587,59.534046,44.200474
665,63.36271,59.467964,44.113598
666,63.32955,59.401882,44.026722
667,63.970795,59.159626,44.265636
668,63.495457,59.952957,42.8772
669,63.02012,60.74629,41.488766
670,62.8544,60.294388,42.670883
671,62.688683,59.842487,43.852997
672,63.02012,59.688255,43.939857
673,63.06432,59.688255,43.83129
674,63.10852,59.688255,43.722725
675,66.58389,57.047665,45.70023
676,65.506485,57.832405,45.164112
677,64.42907,58.61714,44.627995
678,63.351658,59.401882,44.091877
679,63.749634,59.049526,44.395977
680,63.53593,59.299156,44.186035
681,63.322224,59.54879,43.97609
682,63.10852,59.79842,43.766148
683,62.335262,59.137604,45.504494
684,62.63722,59.24038,45.033623
685,62.93918,59.34316,44.562748
686,63.241135,59.445934,44.091877
687,63.50641,59.159626,44.439426
688,62.9909,59.54887,44.09922
689,62.47539,59.938118,43.759014
690,61.95988,60.327362,43.418808
691,62.666824,59.831585,43.234344
692,63.373764,59.335808,43.049885
693,63.462196,59.423912,43.484013
694,63.55063,59.512016,43.91814
695,63.738594,59.32481,44.178783
696,63.92656,59.137604,44.439426
697,63.672268,59.29177,44.189644
698,63.417976,59.445934,43.939857
699,63.373764,59.864525,43.397106
700,62.93173,59.512016,44.200474
701,60.74629,61.981956,42.008892
702,63.130623,59.48999,44.113594
703,63.373764,59.335808,43.744434
704,62.93173,59.864525,43.679302
705,60.54783,63.749634,40.29775
706,63.639072,59.29176,44.439426
707,63.196926,59.159626,44.113594
708,62.84334,59.842487,43.766148
709,63.196926,59.556076,43.939857
710,63.15272,59.31378,44.178753
711,59.842487,62.26901,42.550953
712,62.688683,58.961456,45.504494
713,62.86545,59.214706,44.657032
714,63.04222,59.46796,43.80957
715,63.749634,59.137604,44.28736
716,63.384876,59.501064,44.11361
717,63.02012,59.864525,43.939857
718,62.489872,59.445934,44.178753
719,63.65074,57.884277,45.799316
720,64.811615,56.32262,47.419884
721,63.417976,59.137604,44.005005
722,63.185898,59.137604,44.233078
723,62.953823,59.137604,44.46115
724,62.66659,60.217144,43.744434
725,62.876503,59.688385,44.0159
726,63.08642,59.159626,44.28736
727,63.362747,59.159626,44.18962
728,63.639072,59.159626,44.091877
729,63.02012,59.73232,43.939857
730,63.152733,59.534065,43.939857
731,63.285343,59.335808,43.939857
732,63.373764,59.159626,43.787857
733,63.506416,59.335823,43.961586
734,63.639072,59.512016,44.135315
735,64.103516,58.60924,44.439426
736,63.595085,59.350994,43.846085
737,63.08666,60.09275,43.25274
738,62.578228,60.834503,42.659397
739,63.02012,59.600132,44.091877
740,64.08981,58.214897,45.368267
741,65.159515,56.829662,46.64466
742,66.22921,55.444427,47.92105
743,64.624664,57.742622,45.843597
744,63.02012,60.040817,43.766148
745,65.05704,57.84139,45.49499
746,67.093956,55.64196,47.223835
747,65.211754,57.532936,45.56013
748,63.32955,59.42391,43.896427
749,63.351658,59.368843,43.907284
